@ATTRIBUTE "age" { 19.0_33.0,34.0_40.0,41.0_50.0,51.0_87.0 }
@ATTRIBUTE "job" { admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown }
@ATTRIBUTE "marital" { divorced,married,single }
@ATTRIBUTE "education" { primary,secondary,tertiary,unknown }
@ATTRIBUTE "default" { no,yes }
@ATTRIBUTE "balance" { -3313.0_69.0,1490.0_71188.0,446.0_1482.0,70.0_445.0 }
@ATTRIBUTE "housing" { no,yes }
@ATTRIBUTE "loan" { no,yes }
@ATTRIBUTE "contact" { cellular,telephone,unknown }
@ATTRIBUTE "day" { 1.0_9.0,10.0_17.0,18.0_25.0,26.0_31.0 }
@ATTRIBUTE "month" { apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep }
@ATTRIBUTE "duration" { 105.0_186.0,187.0_332.0,333.0_3025.0,4.0_104.0 }
@ATTRIBUTE "campaign" { 1.0_1.0,2.0_2.0,3.0_6.0,7.0_50.0 }
@ATTRIBUTE "pdays" { -1.0_-1.0,1.0_871.0 }
@ATTRIBUTE "previous" { 0.0_0.0,1.0_25.0 }
@ATTRIBUTE "poutcome" { failure,other,success,unknown }
@ATTRIBUTE "y" { no,yes }
@DATA
19.0_33.0,unemployed,married,primary,no,1490.0_71188.0,no,no,cellular,18.0_25.0,oct,4.0_104.0,1.0_1.0,-1.0_-1.0,0.0_0.0,unknown,no
19.0_33.0,services,married,secondary,no,1490.0_71188.0,yes,yes,cellular,10.0_17.0,may,187.0_332.0,1.0_1.0,1.0_871.0,1.0_25.0,failure,no
34.0_40.0,management,single,tertiary,no,446.0_1482.0,yes,no,cellular,10.0_17.0,apr,105.0_186.0,1.0_1.0,1.0_871.0,1.0_25.0,failure,no
19.0_33.0,management,married,tertiary,no,446.0_1482.0,yes,yes,unknown,1.0_9.0,jun,187.0_332.0,3.0_6.0,-1.0_-1.0,0.0_0.0,unknown,no
51.0_87.0,blue-collar,married,secondary,no,-3313.0_69.0,yes,no,unknown,1.0_9.0,may,187.0_332.0,1.0_1.0,-1.0_-1.0,0.0_0.0,unknown,no
34.0_40.0,management,single,tertiary,no,446.0_1482.0,no,no,cellular,18.0_25.0,feb,105.0_186.0,2.0_2.0,1.0_871.0,1.0_25.0,failure,no
34.0_40.0,self-employed,married,tertiary,no,70.0_445.0,yes,no,cellular,10.0_17.0,may,333.0_3025.0,1.0_1.0,1.0_871.0,1.0_25.0,other,no
34.0_40.0,technician,married,secondary,no,70.0_445.0,yes,no,cellular,1.0_9.0,may,105.0_186.0,2.0_2.0,-1.0_-1.0,0.0_0.0,unknown,no
41.0_50.0,entrepreneur,married,tertiary,no,70.0_445.0,yes,no,unknown,10.0_17.0,may,4.0_104.0,2.0_2.0,-1.0_-1.0,0.0_0.0,unknown,no
41.0_50.0,services,married,primary,no,-3313.0_69.0,yes,yes,cellular,10.0_17.0,apr,187.0_332.0,1.0_1.0,1.0_871.0,1.0_25.0,failure,no
