@ATTRIBUTE "X" { 1,2,3,4,5,6,7,8,9 }
@ATTRIBUTE "Y" { 2,3,4,5,6,8,9 }
@ATTRIBUTE "month" { apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep }
@ATTRIBUTE "day" { fri,mon,sat,sun,thu,tue,wed }
@ATTRIBUTE "FFMC" { 18.7_90.2,90.3_91.6,91.7_92.9,93.0_96.2 }
@ATTRIBUTE "DMC" { 1.1_62.3,108.4_142.4,145.4_291.3,68.6_108.3 }
@ATTRIBUTE "DC" { 437.7_661.8,664.2_713.9,7.9_433.3,714.3_860.6 }
@ATTRIBUTE "ISI" { 0.0_6.4,11.4_56.1,6.5_8.4,8.5_11.3 }
@ATTRIBUTE "temp" { 15.6_19.3,19.4_22.9,2.2_15.5,23.0_33.3 }
@ATTRIBUTE "RH" { 15.0_32.0,33.0_41.0,42.0_53.0,54.0_100.0 }
@ATTRIBUTE "wind" { 0.4_2.7,3.1_4.0,4.5_5.4,5.8_9.4 }
@ATTRIBUTE "rain" { 0,0.2,0.4,0.8,1,1.4,6.4 }
@ATTRIBUTE "area" { 0.09_5.83,0.0_0.0,5.86_88.49,95.18_1090.84 }
@DATA
7,5,mar,fri,18.7_90.2,1.1_62.3,7.9_433.3,0.0_6.4,2.2_15.5,42.0_53.0,5.8_9.4,0,0.0_0.0
7,4,oct,tue,90.3_91.6,1.1_62.3,664.2_713.9,6.5_8.4,15.6_19.3,33.0_41.0,0.4_2.7,0,0.0_0.0
7,4,oct,sat,90.3_91.6,1.1_62.3,664.2_713.9,6.5_8.4,2.2_15.5,33.0_41.0,0.4_2.7,0,0.0_0.0
8,6,mar,fri,91.7_92.9,1.1_62.3,7.9_433.3,8.5_11.3,2.2_15.5,54.0_100.0,3.1_4.0,0.2,0.0_0.0
8,6,mar,sun,18.7_90.2,1.1_62.3,7.9_433.3,8.5_11.3,2.2_15.5,54.0_100.0,0.4_2.7,0,0.0_0.0
8,6,aug,sun,91.7_92.9,68.6_108.3,437.7_661.8,11.4_56.1,19.4_22.9,15.0_32.0,4.5_5.4,0,0.0_0.0
8,6,aug,mon,91.7_92.9,68.6_108.3,437.7_661.8,8.5_11.3,23.0_33.3,15.0_32.0,3.1_4.0,0,0.0_0.0
8,6,aug,mon,90.3_91.6,145.4_291.3,437.7_661.8,8.5_11.3,2.2_15.5,54.0_100.0,0.4_2.7,0,0.0_0.0
8,6,sep,tue,90.3_91.6,108.4_142.4,664.2_713.9,6.5_8.4,2.2_15.5,54.0_100.0,4.5_5.4,0,0.0_0.0
7,5,sep,sat,91.7_92.9,68.6_108.3,664.2_713.9,6.5_8.4,19.4_22.9,33.0_41.0,3.1_4.0,0,0.0_0.0
