@ATTRIBUTE "RI" { 1.51115_1.51651,1.51652_1.51766,1.51768_1.51911,1.51915_1.52777,1.53125_1.53393 }
@ATTRIBUTE "Na" { 10.73_12.89,12.9_13.29,13.3_13.8,13.81_15.15,15.79_17.38 }
@ATTRIBUTE "Mg" { 0.0_1.88,2.09_3.48,3.49_3.61,3.62_4.49 }
@ATTRIBUTE "Al" { 0.29_1.19,1.2_1.38,1.4_1.65,1.66_3.5 }
@ATTRIBUTE "Si" { 69.81_72.26,72.28_72.78,72.79_73.08,73.09_75.18,75.41_75.41 }
@ATTRIBUTE "K" { 0.0_0.12,0.13_0.55,0.56_0.61,0.62_6.21 }
@ATTRIBUTE "Ca" { 5.43_8.23,8.24_8.6,8.61_9.18,9.23_16.19 }
@ATTRIBUTE "Ba" { 0.06_3.15,0.0_0.0 }
@ATTRIBUTE "Fe" { 0.01_0.24,0.0_0.0,0.25_0.51 }
@ATTRIBUTE "class" { 1,2,3,5,6,7 }
@DATA
1.51915_1.52777,13.3_13.8,3.62_4.49,0.29_1.19,69.81_72.26,0.0_0.12,8.61_9.18,0.0_0.0,0.0_0.0,1
1.51652_1.51766,13.81_15.15,3.49_3.61,1.2_1.38,72.28_72.78,0.13_0.55,5.43_8.23,0.0_0.0,0.0_0.0,1
1.51115_1.51651,13.3_13.8,3.49_3.61,1.4_1.65,72.79_73.08,0.13_0.55,5.43_8.23,0.0_0.0,0.0_0.0,1
1.51652_1.51766,12.9_13.29,3.62_4.49,1.2_1.38,72.28_72.78,0.56_0.61,5.43_8.23,0.0_0.0,0.0_0.0,1
1.51652_1.51766,12.9_13.29,3.62_4.49,1.2_1.38,72.79_73.08,0.13_0.55,5.43_8.23,0.0_0.0,0.0_0.0,1
1.51115_1.51651,10.73_12.89,3.49_3.61,1.4_1.65,72.79_73.08,0.62_6.21,5.43_8.23,0.0_0.0,0.25_0.51,1
1.51652_1.51766,13.3_13.8,3.49_3.61,0.29_1.19,73.09_75.18,0.56_0.61,5.43_8.23,0.0_0.0,0.0_0.0,1
1.51652_1.51766,12.9_13.29,3.49_3.61,0.29_1.19,73.09_75.18,0.56_0.61,8.24_8.6,0.0_0.0,0.0_0.0,1
1.51915_1.52777,13.81_15.15,3.49_3.61,1.2_1.38,69.81_72.26,0.56_0.61,8.24_8.6,0.0_0.0,0.0_0.0,1
1.51652_1.51766,12.9_13.29,3.49_3.61,1.2_1.38,72.79_73.08,0.56_0.61,8.24_8.6,0.0_0.0,0.01_0.24,1
1.51115_1.51651,10.73_12.89,2.09_3.48,1.4_1.65,73.09_75.18,0.62_6.21,5.43_8.23,0.0_0.0,0.01_0.24,1
1.51652_1.51766,10.73_12.89,3.62_4.49,1.2_1.38,72.79_73.08,0.56_0.61,8.24_8.6,0.0_0.0,0.0_0.0,1
1.51115_1.51651,10.73_12.89,2.09_3.48,1.4_1.65,73.09_75.18,0.62_6.21,5.43_8.23,0.0_0.0,0.01_0.24,1
1.51652_1.51766,10.73_12.89,3.49_3.61,1.2_1.38,73.09_75.18,0.13_0.55,8.24_8.6,0.0_0.0,0.01_0.24,1
1.51652_1.51766,10.73_12.89,3.49_3.61,1.2_1.38,73.09_75.18,0.56_0.61,8.24_8.6,0.0_0.0,0.0_0.0,1
