@ATTRIBUTE "class" { democrat,republican }
@ATTRIBUTE "handicapped-infants" { n,y }
@ATTRIBUTE "water-project-cost-sharing" { n,y }
@ATTRIBUTE "adoption-of-the-budget-resolution" { n,y }
@ATTRIBUTE "physician-fee-freeze" { n,y }
@ATTRIBUTE "el-salvador-aid" { n,y }
@ATTRIBUTE "religious-groups-in-schools" { n,y }
@ATTRIBUTE "anti-satellite-test-ban" { n,y }
@ATTRIBUTE "aid-to-nicaraguan-contras" { n,y }
@ATTRIBUTE "mx-missile" { n,y }
@ATTRIBUTE "immigration" { n,y }
@ATTRIBUTE "synfuels-corporation-cutback" { n,y }
@ATTRIBUTE "education-spending" { n,y }
@ATTRIBUTE "superfund-right-to-sue" { n,y }
@ATTRIBUTE "crime" { n,y }
@ATTRIBUTE "duty-free-exports" { n,y }
@ATTRIBUTE "export-administration-act-south-africa" { n,y }
@DATA
democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
